100 nm


lambda, Y
1420, 0.153392
1425, 0.155471
1430, 0.158986
1435, 0.161652
1440, 0.163647
1445, 0.167628
1450, 0.172893
1455, 0.176875
1460, 0.18169
1465, 0.190368
1470, 0.200211
1475, 0.210573
1480, 0.232499
1485, 0.288367
1490, 0.242563
1495, 0.255149
1500, 0.259653
1505, 0.22611
1510, 0.181175
1515, 0.152854
1520, 0.139899
1525, 0.130258
1530, 0.122787
1535, 0.119825
1540, 0.115635
1545, 0.112185
1550, 0.109854
1555, 0.104051
1560, 0.0991932
1565, 0.0929362
1570, 0.0850444
1575, 0.0789102
1580, 0.0706933
1585, 0.0640018
1590, 0.0574196
1595, 0.050402
1600, 0.0453712

400nm


lambda, Y
300, 0.230715
305, 0.224927
310, 0.219987
315, 0.215835
320, 0.212568
325, 0.21011
330, 0.20842
335, 0.207335
340, 0.206985
345, 0.207377
350, 0.208429
355, 0.210238
360, 0.212328
365, 0.213439
370, 0.212654
375, 0.210634
380, 0.208529
385, 0.207515
390, 0.206533
395, 0.204584
400, 0.205251
405, 0.208402
410, 0.209068
415, 0.207266
420, 0.206355
425, 0.217253
430, 0.232508
435, 0.236423
440, 0.238993
445, 0.232126
450, 0.221598
455, 0.217458
460, 0.219612
465, 0.224127
470, 0.228951
475, 0.234038
480, 0.238907
485, 0.242742
490, 0.2451
495, 0.243891
500, 0.233963
505, 0.21516
510, 0.206053
515, 0.212994
520, 0.220069
525, 0.214579
530, 0.20233
535, 0.194092
540, 0.190858
545, 0.190307
550, 0.19077
555, 0.191548
560, 0.192665
565, 0.19452
570, 0.197635
575, 0.201764
